UTM_X,UTM_Y,elevation
618884.5868016768,4195981.5023443904,709.49462890625
618930.1198315599,4196126.5273573920,704.422546386719
619034.1371945156,4196213.6572540039,699.939575195312
619195.2444424360,4196246.5880499305,697.365966796875
619209.5776015540,4196244.5261363816,698.115295410156
619221.0183662334,4196242.4391592713,698.115295410156
619355.6703569016,4196254.2175605102,682.190734863281
619364.6954904592,4196259.2400465030,687.797668457031
619489.4622143812,4196273.6057570595,666.7529296875
619562.3347596352,4196300.9007616136,659.688598632812
619642.6526764270,4196359.4456824008,653.900756835938
619734.3154826754,4196492.1986444248,634.271667480469
619800.6993332562,4196619.7786100125,647.722778320312
619847.1227790116,4196753.9397535874,645.203430175781
619882.1526446042,4196924.2606241163,610.052917480469
