x,y,z,t
618910.9044766113,4196553.029425055,543.9970628428599,4241946.255724683
618908.6583948324,4196556.895469411,536.7800060793642,4241949.752690142
618906.4389878333,4196560.715600086,529.7672835711969,4241953.208126948
618904.2427893999,4196564.495783266,522.9568313359814,4241956.627431659
618902.0663333179,4196568.241985131,516.3465853913405,4241960.016000837
618899.9061533726,4196571.960171871,509.9344817548969,4241963.379231065
618897.7587833501,4196575.656309667,503.7184564442739,4241966.722518927
618895.6207570358,4196579.336364704,497.69644547709424,4241970.051261025
618893.4886082155,4196583.006303169,491.86638487098094,4241973.37085397
618891.3588706746,4196586.672091244,486.2262106435569,4241976.686694382
618889.2280781989,4196590.339695114,480.77385881244487,4241980.004178896
618887.092764574,4196594.015080963,475.5072653952681,4241983.32870415
618884.9494635859,4196597.704214978,470.42436640964945,4241986.665666805
618882.7947090196,4196601.413063341,465.5230978732117,4241990.020463518
618880.6250346613,4196605.147592238,460.80139580357803,4241993.398490969
618878.4369742962,4196608.913767853,456.2571962183713,4241996.805145844
618876.2270617103,4196612.717556371,451.8884351352144,4242000.245824841
618873.9918306894,4196616.564923976,447.6930485717303,4242003.725924668
618871.727815019,4196620.461836852,443.6689725455421,4242007.250842047
618869.4315484846,4196624.414261184,439.8141430742724,4242010.825973711
618867.0995648718,4196628.428163158,436.1264961755444,4242014.456716409
618864.7283979664,4196632.509508956,432.6039678669809,4242018.148466898
618862.3145815542,4196636.664264765,429.24449416620484,4242021.906621951
618859.8546494204,4196640.898396768,426.0460110908394,4242025.736578355
618857.3451353511,4196645.217871151,423.00645465850727,4242029.643732912
618854.7825731318,4196649.628654096,420.1237608868315,4242033.633482436
618852.1634965482,4196654.13671179,417.39586579343506,4242037.7112237625
618849.4844393859,4196658.7480104165,414.8207053959409,4242041.882353739
618846.7419354306,4196663.468516161,412.3962157119718,4242046.152269231
618843.9325184678,4196668.304195207,410.1203327591508,4242050.526367124
618841.0527222833,4196673.261013738,407.9909925551009,4242055.010044319
618838.0990806628,4196678.344937941,406.0061311174451,4242059.60869774
618835.0681273919,4196683.561933999,404.1636844638061,4242064.32772433
618831.956396256,4196688.917968098,402.461588611807,4242069.172521055
618828.7604210413,4196694.41900642,400.8977795790708,4242074.148484899
618825.476735533,4196700.071015153,399.4701933832203,4242079.261012876
618822.101873517,4196705.879960477,398.17676604187864,4242084.515502019
618818.6323687787,4196711.8518085815,397.0154335726686,4242089.917349393
618815.064755104,4196717.992525647,395.9841319932131,4242095.471952083
618811.3955662785,4196724.308077862,395.08079732113515,4242101.184707207
618807.6213360876,4196730.804431407,394.3033655740577,4242107.06101191
618803.7385983174,4196737.487552469,393.6497727696037,4242113.10626337
618799.7438867531,4196744.363407232,393.11795492539613,4242119.325858796
618795.6337351808,4196751.43796188,392.70584805905776,4242125.725195427
618791.4046773857,4196758.717182599,392.41138818821173,4242132.309670544
618787.0532471538,4196766.207035572,392.23251133048086,4242139.084681458
618782.5759782705,4196773.913486985,392.1671535034881,4242146.055625521
618777.9694045217,4196781.842503021,392.2132507248565,4242153.227900122
618773.2300596929,4196790.000049865,392.36873901220883,4242160.606902695
618768.3544775697,4196798.392093702,392.63155438316824,4242168.198030715
618763.339191938,4196807.024600716,392.9996328553575,4242176.006681697
618758.1807365832,4196815.903537093,393.4709104463996,4242184.03825321
618752.8756452911,4196825.034869016,394.04332317391754,4242192.298142864
618747.4204518474,4196834.424562669,394.71480705553427,4242200.791748322
618741.8116900375,4196844.078584238,395.48329810887265,4242209.524467297
618736.0458936472,4196854.002899908,396.3467323515556,4242218.50169756
618730.1195964622,4196864.203475863,397.30304580120617,4242227.72883693
618724.0293322682,4196874.686278286,398.35017447544726,4242237.21128329
618717.7716348508,4196885.457273363,399.4860543919018,4242246.954434576
618711.3430379955,4196896.522427279,400.70862156819277,4242256.963688794
618704.7400754881,4196907.887706217,402.015812021943,4242267.244444006
618697.9592811144,4196919.559076363,403.40556177077565,4242277.802098343
618690.9971886596,4196931.542503901,404.8758068323134,4242288.642050005
618683.85033191,4196943.843955015,406.42448322417937,4242299.769697258
618676.5152446507,4196956.469395891,408.0495269639965,4242311.190438448
618668.9884606674,4196969.424792712,409.7488740693876,4242322.909671988
618661.266513746,4196982.716111663,411.52046055797575,4242334.932796375
618653.3459376722,4196996.349318929,413.3622224473839,4242347.265210181
618645.2232662314,4197010.330380695,415.27209575523483,4242359.912312061
618636.8950332094,4197024.665263144,417.2480164991516,4242372.879500756
618628.3577723918,4197039.359932462,419.2879206967572,4242386.172175095
618619.6080175642,4197054.420354832,421.3897443656745,4242399.795733995
618610.6423025123,4197069.8524964405,423.55142352352647,4242413.755576466
618601.457161022,4197085.66232347,425.770894187936,4242428.057101615
618592.0491268786,4197101.855802107,428.0460923765261,4242442.705708644
618582.4147338679,4197118.4388985345,430.3749541069197,4242457.7067968575
618572.5505157753,4197135.417578938,432.7554153967397,4242473.065765665
618562.4530063871,4197152.797809502,435.18541226360907,4242488.788014579
618552.1187394883,4197170.585556411,437.6628807251508,4242504.8789432235
618541.5442488648,4197188.786785849,440.1857567989877,4242521.343951335
618530.7260683024,4197207.407464001,442.7519765027429,4242538.188438764
618519.6607315866,4197226.453557052,445.3594758540392,4242555.417805479
618508.3447725029,4197245.931031185,448.00619087049955,4242573.037451573
618496.7747248372,4197265.845852586,450.69005756974695,4242591.05277726
618484.947122375,4197286.203987439,453.4090119694044,4242609.4691828815
618472.8584989021,4197307.011401929,456.16099008709466,4242628.2920689145
618460.505388204,4197328.2740622405,458.9439279404408,4242647.526835966
618447.8843240666,4197349.9979345575,461.75576154706573,4242667.178884781
618434.9918402751,4197372.188985065,464.5944269245924,4242687.2536162445
618421.8244706156,4197394.853179947,467.45786009064386,4242707.756431389
618408.3787488738,4197417.996485387,470.34399706284285,4242728.69273139
618394.6512088348,4197441.624867573,473.2507738588124,4242750.06791758
618380.6383842849,4197465.744292687,476.1761264961756,4242771.887391439
618366.3368090091,4197490.360726914,479.1179909925551,4242794.156554611
618351.7430167936,4197515.480136439,482.0743033655741,4242816.880808898
618336.8535414239,4197541.108487446,485.04299963285547,4242840.065556269
618321.6649166855,4197567.25174612,488.02201581202195,4242863.716198862
618306.1736763641,4197593.915878645,491.00928792069675,4242887.838138986
618290.3763542456,4197621.106851205,494.0027519765027,4242912.436779129
618274.2694841155,4197648.830629987,497.0003439970628,4242937.51752196
